Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,1.098901098901099,0.0,0
All Heuristics,p=0,1,2.197802197802198,50.0,133.0
All Heuristics,p=0,2,3.296703296703297,50.0,48.0
All Heuristics,p=0,3,4.395604395604396,50.0,48.0
All Heuristics,p=0,4,4.395604395604396,50.0,40.0
All Heuristics,p=0,5,5.4945054945054945,50.0,121.0
All Heuristics,p=0,6,5.4945054945054945,50.0,121.0
All Heuristics,p=0,7,5.4945054945054945,50.0,45.0
All Heuristics,p=0,8,5.4945054945054945,50.0,44.5
All Heuristics,p=0,9,6.593406593406594,33.33333333333333,99.0
All Heuristics,p=0,10,6.593406593406594,50.0,44.5
All Heuristics,p=0,11,6.593406593406594,25.0,89.0
All Heuristics,p=0,12,6.593406593406594,25.0,90.0
All Heuristics,p=0,13,7.6923076923076925,33.33333333333333,84.0
All Heuristics,p=0,14,7.6923076923076925,25.0,47.0
All Heuristics,p=0,15,7.6923076923076925,50.0,23.0
All Heuristics,p=0,16,8.791208791208792,0.0,0
All Heuristics,p=0,17,8.791208791208792,25.0,90.0
All Heuristics,p=0,18,9.89010989010989,50.0,22.5
All Heuristics,p=0,19,9.89010989010989,25.0,85.0
All Heuristics,p=0,20,10.989010989010989,25.0,84.0
All Heuristics,p=0,21,10.989010989010989,25.0,44.0
All Heuristics,p=0,22,12.087912087912088,25.0,86.0
All Heuristics,p=0,23,13.186813186813188,0.0,0
All Heuristics,p=0,24,13.186813186813188,0.0,0
All Heuristics,p=0,25,13.186813186813188,25.0,86.0
All Heuristics,p=0,26,13.186813186813188,0.0,0
All Heuristics,p=0,27,13.186813186813188,25.0,85.0
All Heuristics,p=0,28,13.186813186813188,25.0,85.0
All Heuristics,p=0,29,14.285714285714285,0.0,0
All Heuristics,p=0,30,15.384615384615385,25.0,83.0
All Heuristics,p=0,31,16.483516483516482,25.0,86.0
All Heuristics,p=0,32,17.582417582417584,0.0,0
All Heuristics,p=0,33,17.582417582417584,25.0,88.0
All Heuristics,p=0,34,18.681318681318682,0.0,0
All Heuristics,p=0,35,19.78021978021978,66.66666666666666,20.0
All Heuristics,p=0,36,19.78021978021978,0.0,0
All Heuristics,p=0,37,20.87912087912088,0.0,0
All Heuristics,p=0,38,20.87912087912088,0.0,0
