Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
Heuristic 3 Only,p=0,0,0.0,0,0
Heuristic 3 Only,p=0,1,4.0,0.0,0
Heuristic 3 Only,p=0,2,4.0,0.0,0
Heuristic 3 Only,p=0,3,4.0,0.0,0
Heuristic 3 Only,p=0,4,8.0,0.0,0
Heuristic 3 Only,p=0,5,8.0,33.33333333333333,7.0
Heuristic 3 Only,p=0,6,8.0,33.33333333333333,7.0
Heuristic 3 Only,p=0,7,12.0,33.33333333333333,7.0
Heuristic 3 Only,p=0,8,12.0,50.0,4.0
Heuristic 3 Only,p=0,9,16.0,75.0,2.0
Heuristic 3 Only,p=0,10,20.0,50.0,4.0
Heuristic 3 Only,p=0,11,20.0,75.0,2.0
Heuristic 3 Only,p=0,12,24.0,75.0,2.0
Heuristic 3 Only,p=0,13,28.000000000000004,50.0,2.5
Heuristic 3 Only,p=0,14,32.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0,15,32.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0,16,36.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0,17,36.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0,18,40.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0,19,44.0,75.0,2.3333333333333335
Heuristic 3 Only,p=0,20,44.0,100.0,1.25
Heuristic 3 Only,p=0,21,48.0,100.0,1.25
Heuristic 3 Only,p=0,22,48.0,100.0,1.25
Heuristic 3 Only,p=0,23,52.0,100.0,1.25
Heuristic 3 Only,p=0.5,0,0.0,0,0
Heuristic 3 Only,p=0.5,1,0.0,0.0,0
Heuristic 3 Only,p=0.5,2,0.0,0.0,0
Heuristic 3 Only,p=0.5,3,4.0,0.0,0
Heuristic 3 Only,p=0.5,4,8.0,0.0,0
Heuristic 3 Only,p=0.5,5,8.0,50.0,8.0
Heuristic 3 Only,p=0.5,6,8.0,33.33333333333333,8.0
Heuristic 3 Only,p=0.5,7,12.0,33.33333333333333,8.0
Heuristic 3 Only,p=0.5,8,16.0,33.33333333333333,8.0
Heuristic 3 Only,p=0.5,9,20.0,0.0,0
Heuristic 3 Only,p=0.5,10,20.0,33.33333333333333,9.0
Heuristic 3 Only,p=0.5,11,20.0,66.66666666666666,4.0
Heuristic 3 Only,p=0.5,12,24.0,100.0,2.6666666666666665
Heuristic 3 Only,p=0.5,13,24.0,100.0,2.6666666666666665
Heuristic 3 Only,p=0.5,14,24.0,100.0,2.6666666666666665
Heuristic 3 Only,p=0.5,15,28.000000000000004,100.0,2.6666666666666665
Heuristic 3 Only,p=0.5,16,32.0,100.0,2.25
Heuristic 3 Only,p=0.5,17,36.0,100.0,2.25
Heuristic 3 Only,p=0.5,18,36.0,100.0,2.25
Heuristic 3 Only,p=0.5,19,36.0,100.0,2.25
Heuristic 3 Only,p=0.5,20,40.0,100.0,2.25
Heuristic 3 Only,p=0.5,21,40.0,100.0,2.25
Heuristic 3 Only,p=0.5,22,40.0,100.0,2.25
Heuristic 3 Only,p=0.5,23,44.0,100.0,2.25
Heuristic 3 Only,p=1,0,4.0,0.0,0
Heuristic 3 Only,p=1,1,8.0,0.0,0
Heuristic 3 Only,p=1,2,12.0,0.0,0
Heuristic 3 Only,p=1,3,16.0,0.0,0
Heuristic 3 Only,p=1,4,16.0,50.0,12.0
Heuristic 3 Only,p=1,5,16.0,50.0,12.0
Heuristic 3 Only,p=1,6,16.0,50.0,10.0
Heuristic 3 Only,p=1,7,20.0,50.0,10.0
Heuristic 3 Only,p=1,8,24.0,75.0,2.6666666666666665
Heuristic 3 Only,p=1,9,28.000000000000004,75.0,2.6666666666666665
Heuristic 3 Only,p=1,10,28.000000000000004,75.0,2.6666666666666665
Heuristic 3 Only,p=1,11,32.0,100.0,2.0
Heuristic 3 Only,p=1,12,36.0,100.0,2.0
Heuristic 3 Only,p=1,13,36.0,100.0,2.0
Heuristic 3 Only,p=1,14,40.0,100.0,2.0
Heuristic 3 Only,p=1,15,44.0,100.0,2.0
Heuristic 3 Only,p=1,16,48.0,100.0,2.0
Heuristic 3 Only,p=1,17,48.0,100.0,2.0
Heuristic 3 Only,p=1,18,52.0,100.0,2.0
Heuristic 3 Only,p=1,19,56.00000000000001,100.0,2.0
Heuristic 3 Only,p=1,20,60.0,100.0,2.0
Heuristic 3 Only,p=1,21,60.0,100.0,2.0
Heuristic 3 Only,p=1,22,64.0,100.0,2.0
Heuristic 3 Only,p=1,23,64.0,100.0,2.0
