Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,8.0,0.0,0
All Heuristics,p=0,1,12.0,50.0,7.0
All Heuristics,p=0,2,16.0,33.33333333333333,11.0
All Heuristics,p=0,3,20.0,66.66666666666666,5.0
All Heuristics,p=0,4,24.0,66.66666666666666,5.0
All Heuristics,p=0,5,28.000000000000004,33.33333333333333,13.0
All Heuristics,p=0,6,32.0,33.33333333333333,11.0
All Heuristics,p=0,7,36.0,33.33333333333333,11.0
All Heuristics,p=0,8,40.0,66.66666666666666,5.5
All Heuristics,p=0,9,44.0,25.0,13.0
All Heuristics,p=0,10,48.0,33.33333333333333,14.0
All Heuristics,p=0,11,52.0,50.0,7.5
All Heuristics,p=0,12,56.00000000000001,25.0,16.0
All Heuristics,p=0,13,60.0,25.0,16.0
All Heuristics,p=0,14,64.0,25.0,16.0
All Heuristics,p=0,15,68.0,25.0,15.0
All Heuristics,p=0,16,72.0,50.0,7.5
All Heuristics,p=0,17,76.0,50.0,8.0
All Heuristics,p=0,18,80.0,75.0,5.333333333333333
All Heuristics,p=0,19,84.0,100.0,4.0
All Heuristics,p=0,20,88.0,100.0,4.0
All Heuristics,p=0,21,92.0,100.0,4.0
All Heuristics,p=0,22,96.0,100.0,4.0
All Heuristics,p=0,23,100.0,100.0,4.0
All Heuristics,p=0.5,0,8.0,0,0
All Heuristics,p=0.5,1,8.0,0,0
All Heuristics,p=0.5,2,12.0,0.0,0
All Heuristics,p=0.5,3,16.0,100.0,2.0
All Heuristics,p=0.5,4,20.0,50.0,8.0
All Heuristics,p=0.5,5,24.0,66.66666666666666,5.5
All Heuristics,p=0.5,6,28.000000000000004,33.33333333333333,12.0
All Heuristics,p=0.5,7,32.0,66.66666666666666,5.5
All Heuristics,p=0.5,8,36.0,33.33333333333333,12.0
All Heuristics,p=0.5,9,40.0,25.0,14.0
All Heuristics,p=0.5,10,44.0,50.0,7.5
All Heuristics,p=0.5,11,48.0,50.0,7.5
All Heuristics,p=0.5,12,52.0,50.0,8.0
All Heuristics,p=0.5,13,56.00000000000001,75.0,5.333333333333333
All Heuristics,p=0.5,14,60.0,75.0,5.333333333333333
All Heuristics,p=0.5,15,64.0,50.0,8.0
All Heuristics,p=0.5,16,68.0,75.0,5.333333333333333
All Heuristics,p=0.5,17,72.0,75.0,5.333333333333333
All Heuristics,p=0.5,18,76.0,100.0,4.0
All Heuristics,p=0.5,19,80.0,100.0,4.0
All Heuristics,p=0.5,20,84.0,100.0,4.0
All Heuristics,p=0.5,21,88.0,100.0,4.0
All Heuristics,p=0.5,22,92.0,100.0,4.0
All Heuristics,p=0.5,23,96.0,100.0,4.0
All Heuristics,p=1,0,8.0,0.0,0
All Heuristics,p=1,1,12.0,0.0,0
All Heuristics,p=1,2,16.0,0.0,0
All Heuristics,p=1,3,20.0,0.0,0
All Heuristics,p=1,4,24.0,100.0,6.0
All Heuristics,p=1,5,28.000000000000004,100.0,6.0
All Heuristics,p=1,6,32.0,100.0,6.0
All Heuristics,p=1,7,36.0,100.0,3.5
All Heuristics,p=1,8,40.0,66.66666666666666,5.5
All Heuristics,p=1,9,44.0,33.33333333333333,14.0
All Heuristics,p=1,10,48.0,33.33333333333333,14.0
All Heuristics,p=1,11,52.0,33.33333333333333,14.0
All Heuristics,p=1,12,56.00000000000001,66.66666666666666,7.0
All Heuristics,p=1,13,60.0,100.0,4.666666666666667
All Heuristics,p=1,14,64.0,100.0,4.666666666666667
All Heuristics,p=1,15,68.0,100.0,4.666666666666667
All Heuristics,p=1,16,72.0,100.0,3.75
All Heuristics,p=1,17,76.0,100.0,3.75
All Heuristics,p=1,18,80.0,100.0,3.75
All Heuristics,p=1,19,84.0,100.0,4.0
All Heuristics,p=1,20,88.0,100.0,4.0
All Heuristics,p=1,21,92.0,100.0,4.0
All Heuristics,p=1,22,96.0,100.0,4.0
All Heuristics,p=1,23,100.0,100.0,4.0
