Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
Heuristic 1 Only,p=0,0,4.0,0.0,0
Heuristic 1 Only,p=0,1,4.0,0.0,0
Heuristic 1 Only,p=0,2,4.0,0.0,0
Heuristic 1 Only,p=0,3,4.0,0.0,0
Heuristic 1 Only,p=0,4,4.0,0.0,0
Heuristic 1 Only,p=0,5,8.0,0.0,0
Heuristic 1 Only,p=0,6,8.0,0.0,0
Heuristic 1 Only,p=0,7,8.0,0.0,0
Heuristic 1 Only,p=0,8,8.0,0.0,0
Heuristic 1 Only,p=0,9,8.0,0.0,0
Heuristic 1 Only,p=0,10,12.0,0.0,0
Heuristic 1 Only,p=0,11,12.0,33.33333333333333,7.0
Heuristic 1 Only,p=0,12,12.0,33.33333333333333,7.0
Heuristic 1 Only,p=0,13,12.0,0.0,0
Heuristic 1 Only,p=0,14,16.0,66.66666666666666,3.5
Heuristic 1 Only,p=0,15,16.0,66.66666666666666,3.5
Heuristic 1 Only,p=0,16,16.0,66.66666666666666,3.5
Heuristic 1 Only,p=0,17,16.0,66.66666666666666,3.5
Heuristic 1 Only,p=0,18,20.0,100.0,2.3333333333333335
Heuristic 1 Only,p=0,19,24.0,100.0,2.0
Heuristic 1 Only,p=0,20,24.0,100.0,2.0
Heuristic 1 Only,p=0,21,24.0,100.0,2.0
Heuristic 1 Only,p=0,22,28.000000000000004,100.0,2.0
Heuristic 1 Only,p=0,23,28.000000000000004,100.0,2.0
Heuristic 1 Only,p=0.5,0,0.0,0,0
Heuristic 1 Only,p=0.5,1,0.0,0.0,0
Heuristic 1 Only,p=0.5,2,0.0,0.0,0
Heuristic 1 Only,p=0.5,3,4.0,0.0,0
Heuristic 1 Only,p=0.5,4,4.0,0.0,0
Heuristic 1 Only,p=0.5,5,4.0,0.0,0
Heuristic 1 Only,p=0.5,6,8.0,50.0,5.0
Heuristic 1 Only,p=0.5,7,8.0,50.0,5.0
Heuristic 1 Only,p=0.5,8,8.0,100.0,2.0
Heuristic 1 Only,p=0.5,9,12.0,100.0,1.6666666666666667
Heuristic 1 Only,p=0.5,10,16.0,100.0,1.6666666666666667
Heuristic 1 Only,p=0.5,11,20.0,100.0,1.5
Heuristic 1 Only,p=0.5,12,20.0,100.0,1.5
Heuristic 1 Only,p=0.5,13,24.0,75.0,3.6666666666666665
Heuristic 1 Only,p=0.5,14,24.0,100.0,1.5
Heuristic 1 Only,p=0.5,15,24.0,100.0,1.5
Heuristic 1 Only,p=0.5,16,24.0,100.0,1.5
Heuristic 1 Only,p=0.5,17,24.0,100.0,1.5
Heuristic 1 Only,p=0.5,18,24.0,100.0,1.5
Heuristic 1 Only,p=0.5,19,24.0,75.0,2.3333333333333335
Heuristic 1 Only,p=0.5,20,28.000000000000004,100.0,1.75
Heuristic 1 Only,p=0.5,21,32.0,100.0,1.75
Heuristic 1 Only,p=0.5,22,32.0,100.0,1.75
Heuristic 1 Only,p=0.5,23,32.0,100.0,1.75
Heuristic 1 Only,p=1,0,0.0,0.0,0
Heuristic 1 Only,p=1,1,4.0,0.0,0
Heuristic 1 Only,p=1,2,8.0,0.0,0
Heuristic 1 Only,p=1,3,8.0,50.0,6.0
Heuristic 1 Only,p=1,4,12.0,100.0,1.5
Heuristic 1 Only,p=1,5,16.0,66.66666666666666,2.5
Heuristic 1 Only,p=1,6,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,7,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,8,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,9,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,10,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,11,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,12,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,13,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,14,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,15,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,16,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,17,20.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,18,24.0,100.0,1.6666666666666667
Heuristic 1 Only,p=1,19,28.000000000000004,100.0,1.6666666666666667
Heuristic 1 Only,p=1,20,32.0,100.0,1.5
Heuristic 1 Only,p=1,21,36.0,100.0,1.5
Heuristic 1 Only,p=1,22,36.0,100.0,1.5
Heuristic 1 Only,p=1,23,36.0,100.0,1.5
