Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,4.6,0.0,0.0
All Heuristics,p=0,1,6.4,7.5,1.35
All Heuristics,p=0,2,8.8,6.666666666666666,1.45
All Heuristics,p=0,3,11.4,13.333333333333332,2.5
All Heuristics,p=0,4,12.4,17.916666666666664,3.0
All Heuristics,p=0,5,14.6,18.75,4.3
All Heuristics,p=0,6,16.6,18.333333333333332,5.2
All Heuristics,p=0,7,18.2,23.75,5.85
All Heuristics,p=0,8,20.2,23.749999999999996,4.75
All Heuristics,p=0,9,21.6,26.666666666666664,5.85
All Heuristics,p=0,10,24.0,26.666666666666664,4.3
All Heuristics,p=0,11,26.0,27.5,5.866666666666666
All Heuristics,p=0,12,28.6,29.166666666666668,6.9
All Heuristics,p=0,13,31.0,36.25,4.783333333333333
All Heuristics,p=0,14,32.6,36.25,5.5166666666666675
All Heuristics,p=0,15,34.6,49.58333333333333,3.425
All Heuristics,p=0,16,36.4,53.333333333333336,4.079166666666667
All Heuristics,p=0,17,38.4,52.083333333333336,4.120833333333333
All Heuristics,p=0,18,40.4,60.833333333333336,4.4375
All Heuristics,p=0,19,42.2,62.083333333333336,3.9166666666666665
All Heuristics,p=0,20,44.4,70.83333333333334,2.970833333333333
All Heuristics,p=0,21,46.0,87.5,2.316666666666667
All Heuristics,p=0,22,47.8,95.0,1.925
All Heuristics,p=0,23,49.6,100.0,1.7791666666666668
All Heuristics,p=0.5,0,1.6,0.0,0.0
All Heuristics,p=0.5,1,2.4,5.0,0.8
All Heuristics,p=0.5,2,4.2,7.5,1.05
All Heuristics,p=0.5,3,6.0,10.0,0.45
All Heuristics,p=0.5,4,7.4,17.5,0.675
All Heuristics,p=0.5,5,9.2,23.333333333333332,1.825
All Heuristics,p=0.5,6,11.2,27.083333333333332,3.1166666666666663
All Heuristics,p=0.5,7,13.8,34.58333333333333,4.233333333333333
All Heuristics,p=0.5,8,14.8,35.83333333333333,3.5375
All Heuristics,p=0.5,9,16.4,45.83333333333333,3.2083333333333335
All Heuristics,p=0.5,10,18.6,51.25,2.1083333333333334
All Heuristics,p=0.5,11,20.4,62.083333333333336,2.2666666666666666
All Heuristics,p=0.5,12,22.0,68.33333333333334,4.333333333333334
All Heuristics,p=0.5,13,24.6,63.75,3.6583333333333337
All Heuristics,p=0.5,14,26.8,69.16666666666666,4.1125
All Heuristics,p=0.5,15,28.4,75.0,3.4875
All Heuristics,p=0.5,16,31.0,73.33333333333334,2.870833333333333
All Heuristics,p=0.5,17,33.6,77.5,2.7916666666666665
All Heuristics,p=0.5,18,36.0,80.83333333333334,2.4625
All Heuristics,p=0.5,19,38.0,83.33333333333334,2.770833333333333
All Heuristics,p=0.5,20,39.8,88.33333333333334,2.441666666666667
All Heuristics,p=0.5,21,42.0,91.66666666666666,2.0708333333333333
All Heuristics,p=0.5,22,43.4,95.0,1.9375
All Heuristics,p=0.5,23,46.0,93.33333333333334,1.9625
All Heuristics,p=0.5,24,52.0,100.0,3.25
All Heuristics,p=1,0,4.2,0.0,0.0
All Heuristics,p=1,1,6.2,7.5,0.55
All Heuristics,p=1,2,7.6,10.0,0.8
All Heuristics,p=1,3,9.8,15.0,1.7
All Heuristics,p=1,4,11.6,36.66666666666667,4.275
All Heuristics,p=1,5,13.4,42.5,3.225
All Heuristics,p=1,6,14.4,53.33333333333333,2.941666666666667
All Heuristics,p=1,7,16.4,70.0,2.6791666666666667
All Heuristics,p=1,8,17.4,77.5,2.975
All Heuristics,p=1,9,19.6,84.16666666666666,2.370833333333333
All Heuristics,p=1,10,22.0,85.83333333333333,2.8208333333333333
All Heuristics,p=1,11,24.2,88.33333333333333,2.6333333333333333
All Heuristics,p=1,12,25.0,92.91666666666666,2.083333333333333
All Heuristics,p=1,13,27.0,92.91666666666666,2.1625
All Heuristics,p=1,14,28.8,92.08333333333334,2.091666666666667
All Heuristics,p=1,15,30.4,90.41666666666666,2.129166666666667
All Heuristics,p=1,16,32.0,95.83333333333334,1.8583333333333332
All Heuristics,p=1,17,34.2,96.25,1.8541666666666667
All Heuristics,p=1,18,37.0,92.08333333333334,1.975
All Heuristics,p=1,19,39.0,95.83333333333334,1.8666666666666667
All Heuristics,p=1,20,40.8,98.75,1.7875
All Heuristics,p=1,21,42.4,100.0,1.7416666666666667
All Heuristics,p=1,22,44.0,100.0,1.7166666666666668
All Heuristics,p=1,23,45.6,100.0,1.7166666666666668
