Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,8.0,0.0,0.0
All Heuristics,p=0,1,12.0,20.0,3.2
All Heuristics,p=0,2,16.0,10.0,1.0
All Heuristics,p=0,3,20.0,23.333333333333332,4.8
All Heuristics,p=0,4,24.0,33.33333333333333,3.1
All Heuristics,p=0,5,28.000000000000007,51.666666666666664,7.366666666666667
All Heuristics,p=0,6,32.0,38.33333333333333,10.3
All Heuristics,p=0,7,36.0,43.33333333333333,9.9
All Heuristics,p=0,8,40.0,48.33333333333333,8.6
All Heuristics,p=0,9,44.0,46.666666666666664,8.4
All Heuristics,p=0,10,48.0,40.0,10.4
All Heuristics,p=0,11,52.0,35.0,3.6666666666666665
All Heuristics,p=0,12,56.000000000000014,50.0,8.066666666666666
All Heuristics,p=0,13,60.0,30.0,14.1
All Heuristics,p=0,14,64.0,40.0,11.0
All Heuristics,p=0,15,68.0,45.0,9.6
All Heuristics,p=0,16,72.0,50.0,8.0
All Heuristics,p=0,17,76.0,60.0,6.833333333333333
All Heuristics,p=0,18,80.0,65.0,6.4
All Heuristics,p=0,19,84.0,65.0,7.466666666666666
All Heuristics,p=0,20,88.0,80.0,5.066666666666666
All Heuristics,p=0,21,92.0,85.0,4.8
All Heuristics,p=0,22,96.0,100.0,4.0
All Heuristics,p=0,23,100.0,100.0,4.0
All Heuristics,p=0.5,0,6.4,0.0,0.0
All Heuristics,p=0.5,1,8.8,30.0,2.2
All Heuristics,p=0.5,2,12.0,20.0,3.8
All Heuristics,p=0.5,3,16.0,20.0,3.8
All Heuristics,p=0.5,4,20.0,20.0,3.8
All Heuristics,p=0.5,5,24.000000000000004,36.666666666666664,7.4
All Heuristics,p=0.5,6,28.0,26.666666666666664,6.4
All Heuristics,p=0.5,7,32.0,13.333333333333332,4.4
All Heuristics,p=0.5,8,36.0,38.33333333333333,7.5
All Heuristics,p=0.5,9,40.0,38.33333333333333,8.466666666666665
All Heuristics,p=0.5,10,44.0,48.33333333333333,5.95
All Heuristics,p=0.5,11,48.0,53.33333333333333,5.55
All Heuristics,p=0.5,12,52.0,55.0,5.7
All Heuristics,p=0.5,13,56.0,56.666666666666664,8.733333333333334
All Heuristics,p=0.5,14,61.6,63.33333333333333,7.466666666666667
All Heuristics,p=0.5,15,65.6,75.0,5.55
All Heuristics,p=0.5,16,69.6,80.0,5.083333333333333
All Heuristics,p=0.5,17,73.6,90.0,4.566666666666666
All Heuristics,p=0.5,18,77.6,85.0,5.216666666666667
All Heuristics,p=0.5,19,81.6,90.0,4.7333333333333325
All Heuristics,p=0.5,20,85.6,100.0,4.15
All Heuristics,p=0.5,21,89.6,100.0,4.0
All Heuristics,p=0.5,22,92.8,100.0,4.0
All Heuristics,p=0.5,23,96.0,100.0,4.0
All Heuristics,p=0.5,24,100.0,100.0,4.0
All Heuristics,p=1,0,8.0,0.0,0.0
All Heuristics,p=1,1,12.0,0.0,0.0
All Heuristics,p=1,2,16.0,0.0,0.0
All Heuristics,p=1,3,20.0,0.0,0.0
All Heuristics,p=1,4,24.0,20.0,1.2
All Heuristics,p=1,5,28.000000000000007,20.0,1.2
All Heuristics,p=1,6,32.0,36.666666666666664,5.8
All Heuristics,p=1,7,36.0,46.666666666666664,5.0
All Heuristics,p=1,8,40.0,40.0,1.5
All Heuristics,p=1,9,44.0,36.666666666666664,5.2
All Heuristics,p=1,10,48.0,46.666666666666664,7.966666666666666
All Heuristics,p=1,11,52.0,70.0,4.633333333333333
All Heuristics,p=1,12,56.000000000000014,73.33333333333333,5.8
All Heuristics,p=1,13,60.0,75.0,6.85
All Heuristics,p=1,14,64.8,80.0,5.283333333333333
All Heuristics,p=1,15,68.8,95.0,4.216666666666667
All Heuristics,p=1,16,72.8,100.0,3.95
All Heuristics,p=1,17,76.8,95.0,4.35
All Heuristics,p=1,18,80.8,95.0,4.316666666666666
All Heuristics,p=1,19,84.8,100.0,4.1
All Heuristics,p=1,20,88.8,100.0,4.1
All Heuristics,p=1,21,92.8,100.0,4.1
All Heuristics,p=1,22,96.8,100.0,4.15
All Heuristics,p=1,23,99.2,100.0,4.15
All Heuristics,p=1,24,98.0,100.0,4.375
