Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,2.941176470588235,0.0,0
All Heuristics,p=0,1,2.941176470588235,0.0,0
All Heuristics,p=0,2,2.941176470588235,0.0,0
All Heuristics,p=0,3,2.941176470588235,0.0,0
All Heuristics,p=0,4,5.88235294117647,100.0,2.0
All Heuristics,p=0,5,8.823529411764707,100.0,2.0
All Heuristics,p=0,6,8.823529411764707,100.0,2.0
All Heuristics,p=0,7,11.76470588235294,50.0,10.0
All Heuristics,p=0,8,11.76470588235294,50.0,6.0
All Heuristics,p=0,9,11.76470588235294,50.0,6.0
All Heuristics,p=0,10,14.705882352941178,66.66666666666666,3.5
All Heuristics,p=0,11,17.647058823529413,75.0,2.6666666666666665
All Heuristics,p=0,12,20.588235294117645,75.0,3.0
All Heuristics,p=0,13,20.588235294117645,75.0,3.0
All Heuristics,p=0,14,23.52941176470588,75.0,3.0
All Heuristics,p=0,15,23.52941176470588,50.0,5.5
All Heuristics,p=0,16,23.52941176470588,50.0,6.0
All Heuristics,p=0,17,26.47058823529412,25.0,14.0
All Heuristics,p=0,18,29.411764705882355,50.0,5.0
All Heuristics,p=0,19,32.35294117647059,50.0,6.0
All Heuristics,p=0,20,32.35294117647059,50.0,6.0
All Heuristics,p=0,21,35.294117647058826,25.0,13.0
All Heuristics,p=0,22,35.294117647058826,50.0,6.0
All Heuristics,p=0,23,35.294117647058826,75.0,3.3333333333333335
All Heuristics,p=0,24,38.23529411764706,25.0,15.0
All Heuristics,p=0,25,41.17647058823529,25.0,14.0
All Heuristics,p=0,26,41.17647058823529,25.0,14.0
All Heuristics,p=0,27,44.11764705882353,25.0,15.0
All Heuristics,p=0,28,47.05882352941176,25.0,14.0
All Heuristics,p=0,29,50.0,25.0,14.0
All Heuristics,p=0,30,50.0,50.0,6.0
All Heuristics,p=0,31,50.0,50.0,6.5
All Heuristics,p=0,32,52.94117647058824,25.0,12.0
All Heuristics,p=0.5,0,2.941176470588235,0.0,0
All Heuristics,p=0.5,1,2.941176470588235,0.0,0
All Heuristics,p=0.5,2,5.88235294117647,0.0,0
All Heuristics,p=0.5,3,5.88235294117647,0.0,0
All Heuristics,p=0.5,4,8.823529411764707,50.0,4.0
All Heuristics,p=0.5,5,8.823529411764707,100.0,2.0
All Heuristics,p=0.5,6,11.76470588235294,50.0,5.0
All Heuristics,p=0.5,7,11.76470588235294,50.0,5.0
All Heuristics,p=0.5,8,14.705882352941178,66.66666666666666,3.0
All Heuristics,p=0.5,9,14.705882352941178,66.66666666666666,3.0
All Heuristics,p=0.5,10,14.705882352941178,50.0,4.0
All Heuristics,p=0.5,11,14.705882352941178,75.0,2.6666666666666665
All Heuristics,p=0.5,12,14.705882352941178,75.0,2.6666666666666665
All Heuristics,p=0.5,13,14.705882352941178,75.0,2.6666666666666665
All Heuristics,p=0.5,14,14.705882352941178,75.0,2.6666666666666665
All Heuristics,p=0.5,15,17.647058823529413,75.0,3.3333333333333335
All Heuristics,p=0.5,16,20.588235294117645,75.0,3.3333333333333335
All Heuristics,p=0.5,17,20.588235294117645,50.0,5.0
All Heuristics,p=0.5,18,23.52941176470588,50.0,5.0
All Heuristics,p=0.5,19,26.47058823529412,50.0,5.5
All Heuristics,p=0.5,20,26.47058823529412,50.0,5.5
All Heuristics,p=0.5,21,26.47058823529412,50.0,5.5
All Heuristics,p=0.5,22,26.47058823529412,50.0,5.5
All Heuristics,p=0.5,23,29.411764705882355,50.0,5.5
All Heuristics,p=0.5,24,29.411764705882355,50.0,5.5
All Heuristics,p=0.5,25,32.35294117647059,50.0,5.5
All Heuristics,p=0.5,26,35.294117647058826,50.0,5.5
All Heuristics,p=0.5,27,38.23529411764706,50.0,5.5
All Heuristics,p=0.5,28,41.17647058823529,50.0,5.5
All Heuristics,p=0.5,29,44.11764705882353,50.0,5.5
All Heuristics,p=0.5,30,47.05882352941176,75.0,3.0
All Heuristics,p=0.5,31,47.05882352941176,50.0,5.5
All Heuristics,p=0.5,32,50.0,50.0,5.5
All Heuristics,p=1,0,2.941176470588235,0.0,0
All Heuristics,p=1,1,5.88235294117647,0.0,0
All Heuristics,p=1,2,8.823529411764707,0.0,0
All Heuristics,p=1,3,11.76470588235294,0.0,0
All Heuristics,p=1,4,11.76470588235294,0.0,0
All Heuristics,p=1,5,11.76470588235294,33.33333333333333,6.0
All Heuristics,p=1,6,14.705882352941178,33.33333333333333,7.0
All Heuristics,p=1,7,17.647058823529413,50.0,3.5
All Heuristics,p=1,8,20.588235294117645,25.0,11.0
All Heuristics,p=1,9,23.52941176470588,25.0,14.0
All Heuristics,p=1,10,23.52941176470588,50.0,5.0
All Heuristics,p=1,11,23.52941176470588,50.0,5.0
All Heuristics,p=1,12,26.47058823529412,25.0,11.0
All Heuristics,p=1,13,26.47058823529412,50.0,5.0
All Heuristics,p=1,14,29.411764705882355,25.0,11.0
All Heuristics,p=1,15,29.411764705882355,75.0,2.0
All Heuristics,p=1,16,32.35294117647059,25.0,12.0
All Heuristics,p=1,17,35.294117647058826,50.0,5.0
All Heuristics,p=1,18,35.294117647058826,50.0,5.0
All Heuristics,p=1,19,35.294117647058826,50.0,5.0
All Heuristics,p=1,20,38.23529411764706,25.0,10.0
All Heuristics,p=1,21,41.17647058823529,25.0,10.0
All Heuristics,p=1,22,41.17647058823529,50.0,5.0
All Heuristics,p=1,23,44.11764705882353,0.0,0
All Heuristics,p=1,24,44.11764705882353,25.0,12.0
All Heuristics,p=1,25,44.11764705882353,50.0,5.0
All Heuristics,p=1,26,47.05882352941176,50.0,5.0
All Heuristics,p=1,27,47.05882352941176,50.0,5.0
All Heuristics,p=1,28,50.0,50.0,4.0
All Heuristics,p=1,29,50.0,50.0,5.0
All Heuristics,p=1,30,52.94117647058824,25.0,11.0
All Heuristics,p=1,31,55.88235294117647,25.0,8.0
All Heuristics,p=1,32,55.88235294117647,66.66666666666666,2.5
